title,odometer,location,isimported,engine,transmission,fuel,paint,price,year
Ford Edge,145184,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,White,4430000,2011
Toyota Camry,88687,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Green,3165000,2011
Toyota Highlander,30951,Lagos State,Foreign Used,6-cylinder(V6),automatic,petrol,Silver,16015000,2017
Toyota Camry,12936,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,16015000,2018
Toyota Corolla,78984,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Green,4915000,2014
Toyota Solara,118808,Lagos,Foreign Used,3-cylinder(I3),automatic,petrol,White,2325000,2004
Toyota Sienna,106789,Lagos,Locally used,6-cylinder(I6),automatic,petrol,Gray,1015000,2006
Mercedes-Benz GLE 350,693,Lagos,New ,4-cylinder(I4),automatic,petrol,Blue,56515000,2020
Honda Crosstour,72683,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,White,4565000,2010
Toyota Venza,61687,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Red,4915000,2014
Toyota Camry,85963,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Black,3315000,2010
Toyota Corolla,96074,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,White,3015000,2009
Lexus LX 570,11905,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Blue,50015000,2018
Mercedes-Benz C 300,97944,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Blue,14190000,2015
Honda Crosstour,88306,Ogun,Locally used,6-cylinder(I6),automatic,petrol,Black.,2325000,2010
Volvo S80,157288,Ogun,Locally used,6-cylinder(I6),automatic,petrol,Grey ,2535000,2007
Lexus LX 570,82520,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Gray,47015000,2016
Toyota Tacoma,203267,Ogun,Foreign Used,4-cylinder(I4),automatic,petrol,Black,2430000,2000
Toyota Corolla,84073,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,3865000,2013
Toyota Corolla,35253,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,6285000,2016
Toyota Corolla,89548,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Red,3755000,2011
Toyota Sienna,128033,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Cream,2875000,2008
Toyota Camry,94803,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Dark Grey,3315000,2007
Toyota Sienna,95471,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Dark Grey,5295000,2011
Toyota Camry,91441,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,White,3205000,2011
Honda Accord,152229,Lagos,Foreign Used,4-cylinder(H4),automatic,petrol,Dark Grey,2765000,2007
Volvo XC90,174865,Ogun,Locally used,4-cylinder(I4),automatic,petrol,Silver ,1800000,2007
Lexus ES 300,105302,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Dark Blue,3815000,2007
Chevrolet Evanda,98717,Abuja,Locally used,6-cylinder(I6),automatic,petrol,Black,3915000,2010
Toyota Sienna,1348,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Red,5765000,2012
Toyota Camry,34326,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,11040000,2018
Nissan Quest,172605,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Silver,565000,2004
Lexus LX 570,24597,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Grey,51515000,2018
Nissan Frontier,172869,Lagos,Locally used,6-cylinder(I6),automatic,petrol,Light silver ,1115000,2000
Lexus LX 570,8801,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Black,54615000,2018
Toyota Corolla,96158,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Dark Grey,4965000,2015
Toyota RAV 4,92455,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,7935000,2013
Honda CR-V,144835,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Blue,6630500,2014
Toyota Corolla,146213,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Red,5895000,2015
Toyota Corolla,0,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Golf,3905000,2012
Lexus LX 570,13247,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Black,52515000,2018
Nissan Rogue,177773,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Silver,3115000,2011
Nissan Pathfinder,176931,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,Red,2815000,2006
Lexus GX 460,65828,Abuja,Foreign Used,8-cylinder(V8),automatic,petrol,White,19015000,2015
Lexus LX 570,55530,Abuja,Foreign Used,8-cylinder(V8),automatic,petrol,Black,110015000,2014
Mercedes-Benz 320,174019,Lagos,Locally used,6-cylinder(I6),automatic,petrol,Black,925000,2001
Mercedes-Benz GL 450,193009,Abuja,Foreign Used,8-cylinder(V8),automatic,petrol,White,5015000,2008
Toyota Highlander,190470,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,White,4915000,2008
Toyota Sienna,199590,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,Silver,2715000,2006
Toyota Corolla,121021,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Blue,2715000,2008
Toyota Corolla,97587,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Dark Grey,3205000,2010
Toyota Venza,73807,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Black,8815000,2014
Toyota Highlander,42624,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Gold ,12515000,2014
Nissan Altima,270050,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Gold,510000,2000
Mercedes-Benz C 300,1234,Abuja,New ,4-cylinder(I4),automatic,petrol,White,16015000,2017
Toyota Corolla,3193,Abuja,New ,4-cylinder(I4),automatic,petrol,Black,18515000,2020
Lexus LX 570,1931,Abuja,New ,8-cylinder(V8),automatic,petrol,Blue,75015000,2019
Toyota RAV 4,65232,Abuja,Locally used,4-cylinder(I4),automatic,petrol,Red,2815000,2008
Ford Expedition,283012,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Red,3165000,2007
Chevrolet Camaro,66336,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Black,7715000,2013
Lexus LS 460,17064,Lagos,Locally used,8-cylinder(V8),automatic,petrol,Black,17865000,2013
Volkswagen 17.22,142623,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,3165000,2010
Toyota Corolla,85914,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,2985000,2011
Ford F 150,96000,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Dark blue ,5405000,2008
Honda Pilot,185689,Abuja,Locally used,4-cylinder(I4),automatic,petrol,Black,1615000,2006
Toyota Venza,47321,Abuja,Locally used,4-cylinder(I4),automatic,petrol,Black,4615000,2012
Toyota Camry,32541,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Silver,3115000,2010
Toyota Venza,1632,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,Gold,6340000,2009
Toyota Camry,8153,Abuja ,Foreign Used,4-cylinder(I4),automatic,petrol,Silver,17515000,2020
Toyota Highlander,117024,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Blue,3535000,2005
Toyota Highlander,109210,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Navy blue,3920000,2006
Toyota Land Cruiser,1240,Abuja,New ,4-cylinder(I4),automatic,petrol,Black,35015000,2019
Mercedes-Benz GLE 350,53277,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Black,17865000,2017
Toyota Sienna,85240,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,White,3315000,2009
Toyota Camry,85906,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Black,3535000,2011
Toyota Venza,76163,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,White,8485000,2013
Mercedes-Benz GLE 350,42345,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Dark Blue,14865000,2016
Toyota Camry,141006,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Red,3550000,2010
Honda Civic,201916,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,2665000,2008
Mercedes-Benz GLE 350,34695,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Black,15515000,2016
Toyota Camry,89639,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Green,3920000,2011
Toyota Corolla,264893,Abuja,Locally used,4-cylinder(I4),automatic,petrol,Grey,1915000,2007
Lexus RX 330,163962,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Black,3415000,2005
Toyota Corolla,16067,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,20490000,2020
Toyota Sienna,90128,Abuja,Locally used,6-cylinder(V6),automatic,petrol,White,1800000,2006
Toyota Corolla,190480,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Gold,3375000,2010
Toyota Highlander,4276,Abuja,New ,6-cylinder(V6),automatic,petrol,Black,40015000,2020
Toyota Highlander,57803,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,Silver,5765000,2009
Acura MDX,60487,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,Dark Grey,4005000,2005
Hyundai Sonata,81011,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,3615000,2014
Toyota Highlander,48987,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,Dark Grey,15215000,2015
MINI Cooper,156988,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Green,3015000,2009
Honda Accord,90652,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,White,2315000,2005
Honda Accord,25803,Abuja,Locally used,4-cylinder(I4),automatic,petrol,Grey,1015000,2008
Acura MDX,220475,Abuja,Locally used,6-cylinder(V6),automatic,petrol,Dark Grey,1615000,2003
Toyota Land Cruiser,81,other,New ,6-cylinder(V6),automatic,petrol,Black,33040000,2019
Toyota Sienna,16519,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,Grey,15015000,2016
Toyota Camry,186051,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,3855000,2012
BMW 730,467,Lagos,New ,4-cylinder(I4),automatic,petrol,Black,68265000,2020
Lexus CT 200h,208761,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,9930000,2015
Toyota Camry,211352,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,3055000,2007
Mercedes-Benz C 300,83440,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Silver,4320000,2009
Toyota RAV 4,139548,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Red,7400000,2013
Honda Element,163557,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Red,2230000,2003
Mercedes-Benz GLK 350,152224,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Black,11030000,2013
Toyota Camry,16786,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,White,13780000,2018
Hyundai Sonata,188890,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Silver,3550000,2011
Toyota Camry,215589,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,4980000,2012
Ford Explorer,325841,Abuja,Locally used,4-cylinder(I4),automatic,petrol,Blue,2315000,2005
Honda Pilot,102741,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Blue,2065000,2005
Honda Element,310009,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Blue,2340000,2006
Toyota Sienna,201132,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Silver,3110000,2008
Mercedes-Benz E 550,147490,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Dark Grey,7730000,2010
Mercedes-Benz CLA 250,55586,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Blue,11030000,2014
Ford Edge,149209,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Red,9930000,2015
Toyota Sienna,124546,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,6080000,2011
Lexus RX 350,72903,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Grey,9930000,2015
Mercedes-Benz GLK 350,34644,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Grey,10480000,2015
Toyota Camry,96802,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Black,3415000,2011
Toyota Sienna,100081,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,Black,5515000,2011
Honda CR-V,178790,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Red,565000,2000
Mercedes-Benz CLS 500,92478,Abuja,Foreign Used,8-cylinder(V8),automatic,petrol,Black,2865000,2006
Toyota Camry,68589,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Black,6615000,2016
Toyota Avalon,37501,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Black ,2765000,2006
Pontiac Vibe,63119,Abuja,Locally used,4-cylinder(I4),automatic,petrol,Grey,2215000,2007
Toyota Camry,180027,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Gold,2015000,2004
Lexus LX 570,16479,Lagos State,Foreign Used,4-cylinder(I4),automatic,petrol,Silver,50415000,2016
Honda Accord,228757,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,White,1570000,2004
Honda Accord,186877,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,2325000,2008
Toyota Camry,29454,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Gray,1515000,2002
Lexus GX 460,57353,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Black,13140000,2012
Lexus GX 470,32793,Abuja,Foreign Used,8-cylinder(V8),automatic,petrol,Black,5765000,2005
Honda Civic,80459,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,2640000,2008
Honda Crosstour,129223,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Red,3900000,2011
Hyundai Sonata,178047,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Silver,3270000,2011
Toyota Corolla,84780,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Red,3165000,2011
Toyota Corolla,30209,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Blue,5790000,2014
Toyota Corolla,188510,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Black,1280000,2006
Toyota Camry,86820,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Blue,3315000,2010
Ford Edge,151669,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Dark Blue,5790000,2011
Lexus GX 460,44348,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Silver,13140000,2011
Mercedes-Benz ML 350,213116,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Silver,4965000,2007
Toyota RAV 4,71389,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,3690000,2009
Toyota Corolla,133661,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Dark Grey,5015000,2016
Mercedes-Benz ML 350,147094,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Black,5515000,2009
Toyota Corolla,32276,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,5015000,2015
Toyota RAV 4,77858,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,White,3315000,2008
Toyota Hilux,322222,Lagos,Locally used,4-cylinder(I4),manual,diesel,White,4715000,2008
Toyota Corolla,46768,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,5415000,2014
Lexus GX 460,112994,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Black,16515000,2013
Lexus GX 460,88896,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Black,16515000,2013
MINI Cooper,94847,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Yellow,5530000,2012
Toyota Camry,156877,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Blue,4980000,2012
Toyota Sienna,289095,Lagos ,Foreign Used,4-cylinder(I4),automatic,petrol,Brown,4415000,2011
Kia Optima,26204,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Black,8265000,2019
Toyota Corolla,1296,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,12445000,2018
Toyota Highlander,7086,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Black,17065000,2018
Toyota 4-Runner,88947,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Dark Grey,10465000,2012
Lincoln Mark,120123,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,White,4415000,2007
Toyota Corolla,47385,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Black,7015000,2017
Toyota Camry,96801,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,7415000,2016
Mercedes-Benz CLA 250,80824,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Blue,12015000,2014
Toyota Corolla,8066,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Silver,1885000,2009
Toyota Highlander,64327,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Black,14865000,2016
Acura TL,156041,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Red,1958000,2004
Honda Civic,60242,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,8815000,2016
Toyota Sienna,123869,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,White,4385000,2009
Toyota Sienna,75261,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,White,6915000,2013
Toyota Corolla,216375,Abuja,Locally used,4-cylinder(I4),automatic,petrol,White,1465000,2004
Honda Accord,61794,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Black,5315000,2016
Toyota Corolla,65039,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,2515000,2004
Toyota Camry,112763,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,4215000,2012
Mercedes-Benz 300,127046,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,3415000,2008
Toyota Camry,46715,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,2715000,2008
Ford Explorer,70764,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Black,4765000,2013
Toyota Avensis,260970,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Silver,1915000,2000
Lexus GX 460,41258,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,White,23515000,2017
Mercedes-Benz 200,98652,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Milk,10515000,2014
Toyota Highlander,42085,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,Dark Grey,15215000,2016
Mercedes-Benz 300,113493,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,Blue,6015000,2013
Honda Accord,94035,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,1855000,2007
Mack CXN613 CAB BEHIND ENGINE,678456,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,10515000,2006
Mack CH613 CONVENTIONAL CAB,768456,Lagos,Locally used,6-cylinder(V6),manual,diesel,red,8015000,1995
Volvo FL6,452815,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,4515000,2000
Man Diesel 19.314 FILT-N,798469,Lagos,Locally used,6-cylinder(V6),manual,diesel,blue,12015000,2001
Nissan A,0,Lagos,Locally used,4-cylinder(I4),manual,diesel,white,1615000,1996
Isuzu NQR,173376,Lagos,Locally used,4-cylinder(I4),manual,diesel,red,5015000,2001
Volkswagen LT,181081,Lagos,Locally used,4-cylinder(I4),manual,diesel,white,4515000,1991
Iveco EUROCARGO 120e18,0,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,4515000,2000
Toyota Sienna,186573,Lagos,Locally used,6-cylinder(I6),automatic,petrol,Gold,965000,2000
Volvo FL12,634718,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,5515000,1998
Mercedes-Benz ATEGO,403461,Lagos,Locally used,4-cylinder(I4),manual,diesel,white,6015000,1218
Isuzu CABSTER,0,Lagos,Locally used,4-cylinder(I4),manual,diesel,white,3015000,1999
Mack CH613,608765,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,9015000,1996
Mercedes-Benz WATER TANKER,701934,Lagos,Locally used,8-cylinder(V8),manual,diesel,white,12015000,1726
Mack R-686ST,0,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,8215000,1987
Mack CXN613 CAB BEHIND ENGINE,678345,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,10515000,2006
Mack CH613 CONVENTIONAL CAB,456789,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,7015000,1991
Mack R-686ST,0,Lagos,Locally used,6-cylinder(V6),manual,diesel,red,7815000,1982
Mercedes-Benz 814,411048,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,4815000,2001
Iveco TRUCK,287016,Lagos,Locally used,6-cylinder(V6),manual,diesel,white-blue,10015000,2005
DAF CF,0,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,10015000,1998
DAF 95XF TRACTOR HEAD,195964,Lagos,Locally used,6-cylinder(V6),manual,diesel,blue,7015000,1999
Mack CXN613,546342,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,10515000,2007
Mercedes-Benz DUMP TRUCK,0,Lagos,Locally used,8-cylinder(V8),manual,diesel,white,12015000,2626
Man BOCKMANN,809456,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,26015000,1980
Mercedes-Benz 814,729447,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,5015000,2001
Man LE 8. 180 PLATFORM TRUCK,283409,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,4515000,2005
Man BOCKMANN,546372,Lagos,Locally used,6-cylinder(V6),manual,diesel,green,9015000,2007
Mack CXN613 CAB BEHIND ENGINE,564234,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,10515000,2006
DAF XF TRACTOR HEAD,0,Lagos,Locally used,6-cylinder(V6),manual,diesel,green,7015000,1999
Nissan INFINITI M90.150/2,217998,Lagos,Locally used,4-cylinder(I4),manual,diesel,white,4015000,1996
Man 26-403,0,Lagos,Locally used,6-cylinder(V6),manual,diesel,green,10015000,2008
Mercedes-Benz/52,510053,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,75015000,1217
Audi S6,678325,Lagos,Locally used,4-cylinder(I4),manual,diesel,white,1215000,1994
Nissan Cabstar,0,Lagos,Locally used,4-cylinder(I4),manual,diesel,white,3015000,2006
ALPINA B3,229795,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,9065000,2000
Man TGA 18.360,0,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,8515000,2004
Toyota DYNA 200,101357,Lagos,Locally used,4-cylinder(I4),manual,diesel,white-blue,6015000,1995
Mack CH613,0,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,8015000,1995
Mercedes-Benz CABIN PLUS CHASSIS ONLY,650923,Lagos,Locally used,6-cylinder(V6),manual,diesel,blue,7015000,1324
Iveco TRUCK,27299,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,3015000,1998
DAF FA 55. 180,458300,Lagos,Locally used,4-cylinder(I4),manual,diesel,red,3415000,1999
Man Truck 18.44,0,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,12015000,2008
Volkswagen LT,161966,Lagos,Locally used,6-cylinder(V6),manual,petrol,orange,1915000,1985
Mercedes-Benz 709 DB,510053,Lagos,Locally used,4-cylinder(I4),manual,diesel,blue,1715000,2001
Toyota RAV 4,74729,Abuja,New ,6-cylinder(V6),automatic,petrol,Dark Green,6015000,2011
Mercedes-Benz ML 350,38474,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Wine,12115000,2014
Toyota Yaris,237314,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,White,2010000,2008
Toyota Corolla,73677,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Blue,5525000,2015
Toyota Camry,84266,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,3165000,2008
Toyota Highlander,87770,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,Gold,2815000,2003
Mercedes-Benz E 350,70586,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,Black,10515000,2011
Kia Sorento,64519,Lagos,Locally used,6-cylinder(I6),automatic,petrol,Black,2465000,2012
Toyota Camry,34556,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Midnight Black Metal,13515000,2018
Toyota Corolla,45353,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Magnetic Gray,3215000,2011
Hyundai Sonata,72093,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Wine,3315000,2011
Mercedes-Benz ML 350,174267,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,3765000,2006
Toyota Sienna,162533,Lagos,Locally used,6-cylinder(I6),automatic,petrol,Yellow,873000,1999
Toyota Corolla,121528,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Magnetic Gray Metallic,2915000,2009
Lexus ES 350,80679,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,4815000,2010
Lexus LX 570,1496,Abuja,New ,8-cylinder(V8),automatic,petrol,White,48815000,2016
Toyota Camry,37500,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Black,5115000,2013
BMW 528,156763,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,White,7890000,2014
JMC Vigus,150,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Brown,9365000,2020
Honda Pilot,33562,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,2660000,2007
Mercedes-Benz GL 450,69124,Abuja,Foreign Used,8-cylinder(V8),automatic,petrol,Grey,18015000,2016
Toyota RAV 4,123106,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Dark Ash,10515000,2014
Toyota Camry,31600,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Silver,3615000,2011
Toyota Sienna,53192,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Gold,6015000,2011
Honda Accord,32342,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Black,3120000,2008
Lexus RX 350,116298,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Grey,4015000,2007
Mercedes-Benz CLS 500,65000,Abuja,Foreign Used,8-cylinder(V8),automatic,petrol,White,11515000,2012
Mazda 323,224294,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,1315000,2002
Toyota Highlander,139365,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Silver,1765000,2001
Toyota Avalon,214674,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Black,2615000,2006
MINI Cooper Countryman,91534,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Ash and black,8065000,2014
Mazda 323,281394,Abuja,Foreign Used,3-cylinder(I3),automatic,petrol,Blue ,1315000,2002
Nissan X-Trail,581807,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,3015000,2008
Toyota RAV 4,60618,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Silver,2325000,2006
Ford Edge,48000,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Black,3215000,2008
Mercedes-Benz 450,165777,Abuja,Foreign Used,8-cylinder(V8),automatic,petrol,Grey,7515000,2016
Toyota Camry,100801,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Red,5015000,2012
Toyota Camry,76839,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Silver,6015000,2015
Jaguar X-Type,35000,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Black ,1855000,2005
Toyota Sienna,48485,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,Silver,3515000,2008
